author,year,volume
K.T Kriebel,1979,8
"G.F Byrne, J.E Begg, P.M Fleming, F.X Dunin",1979,8
"R.B Pollock, E.T Kanemasu",1979,8
"Stanley R Schneider, David F McGinnis, John A Pritchard",1979,8
Janice P Darch,1979,8
"B.Møller Sørensen, G. Maracci",1979,8
Donald E Barrick,1979,8
S.Elwynn Taylor,1979,8
M.J Post,1979,8
"E.T. Kanemasu, H. Schimmelpfennig, E. Chin Choy, M.G. Eversmeyer, D. Lenhert",1974,3
Alan E. Strong,1974,3
"R. Kumar, L. Silva",1974,3
G. Schaerer,1974,3
"Joseph Otterman, George Ohring, Avihu Ginzburg",1974,3
G.J. Zissis,1974,3
"T.N Carlson, G.A Sanchez-Azofeifa",1999,70
"Karen S Friedman, Pablo Clemente-Colón, William G Pichel, Xiaofeng Li",1999,70
"Wouter Greuell, Martijn de Ruyter de Wildt",1999,70
"George Alan Blackburn, Caitriana Margaret Steele",1999,70
"M. Weiss, F. Baret",1999,70
"Andreas Wiesmann, Christian Mätzler",1999,70
"Christian Mätzler, Andreas Wiesmann",1999,70
"Gail A. Carpenter, Sucharita Gopal, Scott Macomber, Siegfried Martens, ... Janet Franklin",1999,70
"M.A. Lefsky, W.B. Cohen, S.A. Acker, G.G. Parker, ... D. Harding",1999,70
David S. Simonett,1969,1
Nelson R. Nunnally,1969,1
"Floyd F. Hauth, James A. Weinman",1969,1
Ralph L. Howell,1969,1
"H.W. Gausman, W.A. Allen, R. Cardenas",1969,1
"Robert W. Pease, Leonard W. Bowden",1969,1
"Jerry D. Lent, Gene A. Thorley",1969,1
"G. Daniel Hickman, John E. Hogg",1969,1
"J. Arthur Greenwood, Alan Nathan, Gerhard Neumann, Willard J. Pierson, ... Thomas E. Pease",1969,1
"J. Arthur Greenwood, Alan Nathan, Gerhard Neumann, Willard J. Pierson, ... Thomas E. Pease",1969,1
G.J. Zissis,1974,3
"V. Klemas, D. Bartlett, W. Philpot, R. Rogers, L. Reed",1974,3
John E. Colwell,1974,3
"F.T Ulaby, J Cihlar, R.K Moore",1974,3
"James E. Harvey, William L. Wolfe, Larry K. Lepley",1974,3
Robert E. Turner,1974,3
G.J. Zissis,1974,3
"L.J. Miller, R.G. Strauch",1974,3
"George A. Maul, Robert L. Charnell, Robert H. Qualset",1974,3
"E.T. Kanemasu, C.L. Niblett, H. Manges, D. Lenhert, M.A. Newman",1974,3
Dieter Steiner,1974,3
G.J. Zissis,1974,3
"Robert M Haralick, K.Sam Shanmugam",1974,3
"K.Ya Kondratyev, A.A Buznikov, O.B Vasilyev, V.I Sevastyanov",1974,3
A.R Newton,1974,3
"Steven P Kraus, Leslie W Senger, James M Ryerson",1974,3
E.T. Kanemasu,1974,3
"Charles R. Goldman, Robert C. Richards, Hans W. Paerl, Robert C. Wrigley, ... William L. Quaide",1974,3
"H. Kritikos, L. Yorinks, H. Smith",1974,3
"C.D Ellyett, Adrian W Fleming",1974,3
"Harry G Stumpf, Alan E Strong",1974,3
G.J. Zissis,1974,3
"Vincent V. Salomonson, William E. Marlatt",1973,2
"Susan A. Aldrich, Frank T. Aldrich, Robert D. Rudd",1973,2
"William G. Brooner, David S. Simonett",1973,2
M.C. Thompson,1973,2
Robert D. Ketchum,1973,2
"Paul E. Anuta, Robert B. MacDonald",1973,2
G.J. Zissis,1973,2
"K.-H. Szekielda, W.F. Mitchell, Lcdr Usn",1973,2
"Beverly S. Ausmus, James W. Hilty",1973,2
"Theresa Flynn Schwarzer, Beverly Gatlin Cook, John A.S. Adams",1973,2
Robert D. Watson,1973,2
"R.G. Strauch, V.E. Derr, R.E. Cupp",1973,2
"George A. Maul, Donald V. Hansen",1973,2
Gwynn H. Suits,1973,2
G.J. Zissis,1973,2
"T. Wilheit, W. Nordberg, J. Blinn, W. Campbell, A. Edgerton",1973,2
"John E Estes, Leslie W Senger",1973,2
"George A. Maul, Miriam Sidran",1973,2
"D. Anding, R. Kauth",1973,2
Gwynn H. Suits,1973,2
"Gwynn H. Suits, G.R. Safir",1973,2
"Michael P. Weinreb, David S. Crosby",1973,2
"V. Klemas, J.F. Borchardt, W.M. Treasure",1973,2
"Russell B. Chadwick, C. Gordon Little",1973,2
"Dennis Conway, Robert K. Holz",1973,2
"C.M.R. Platt, A.J. Troup",1973,2
Gary C. Thomann,1973,2
"S.G. Tooma, W.B. Tucker",1973,2
"K.Ya. Kondratyev, O.B. Vassilyev, A.A. Grigoryev, G.A. Ivanian",1973,2
"R. Esposito, M.A. Schumer",1970,1
Emmanuel E. Bliamptis,1970,1
"James R. Greaves, Paul E. Sherr, Arnold H. Glaser",1970,1
"H.W. Galisman, W.A. Allen, V.I. Myers, R. Cardenas, R.W. Leamer",1970,1
Eric G. Moore,1970,1
Robert W. Pease,1970,1
Walter G. Planet,1970,1
"R.M. Haralick, F. Caspall, D.S. Simonett",1970,1
"William P. Watte, Harold C. MacDonald",1970,1
"Robert Horvath, John G. Braithwaite, Fabian C. Polcyn",1970,1
"D. Anding, R. Kauth",1970,1
"E.M. Wilkins, D.D. Eden, J.S. Chivian",1970,1
"Anthony J. Lewis, Harold C. Macdonald",1970,1
R.J.P. Lyon,1970,1
G.J. Zissis,1976,5
W.R. McCluney,1976,5
Peter S. Ray,1976,5
John C. Price,1976,5
"L.J. Rouse, J.M. Coleman",1976,5
Vladimir Kratky,1976,5
R.A.G. Savigear,1976,5
G.J. Zissis,1976,5
"T.G. Longshaw, B. Gilbertson",1976,5
"B. Gilbertson, T.G. Longshaw, R.P. Viljoen",1976,5
Adigun Ade Abiodun,1976,5
"John R. Apel, H. Michael Byrne, John R. Proni, Ronald Sellers",1976,5
"J.L. Heilman, E.T. Kanemasu, N.J. Rosenberg, B.L. Blad",1976,5
"C.T. Wezernak, F.J. Tanis, C.A. Bajza",1976,5
"C. Elachi, M.L. Bryan, W.F. Weeks",1976,5
"S. Paul, J.P. Gibert, L. Pontier, C. Dechambenoy, L. Menenger",1976,5
Oscar Karl Huh,1976,5
"Robert G. Kirkham, Merritt R. Stevenson",1976,5
G.H. Suits,1976,5
David Landgrebe,1976,5
"J. Otterman, R.S. Fraser",1976,5
"K.L. Burns, J. Shepherd, M. Berman",1976,5
E.A. Godby,1976,5
G.J. Zissis,1976,4
"Richard D. Worsfold, John A. Allen, Bruce E. Fretts",1976,4
"C.T. Wezernak, D.R. Lyzenga",1976,4
M. Leonard Bryan,1976,4
"Seymour Shlien, Andrew Smith",1976,4
Joseph Otterman,1976,4
"George A. Maul, Howard R. Gordon",1976,4
"B. Gilbertson, T.G. Longshaw",1976,4
"T.G. Longshaw, B. Gilbertson",1976,4
"Fred M. Vukovich, Bobby W. Crissman",1976,4
"L.R. Stone, E.T. Kanemasu, M.L. Horton",1976,4
G.J. Zissis,1976,4
"D.J. Gerson, A. Rosenfeld",1976,4
"Robert K. Vincent, Lawrence C. Rowan, Richard E. Gillespie, Charles Knapp",1976,4
"G.A. May, G.W. Petersen",1976,4
"John C. Munday, T.T. Alfo¨ldi",1976,4
"R.E. Carlson, C. Aspiazu",1976,4
Boris Vinogradov,1976,4
G.J. Zissis,1976,4
"R.D. Jackson, R.J. Reginato, S.B. Idso",1976,4
Karl Theodor Kriebel,1976,4
"R. Evans, J. Head, M. Dirkzwager",1976,4
"R. Story, G.A. Yapp, A.T. Dunn",1976,4
Bertil O¨stro¨m,1976,4
G.J. Zissis,1976,4
H.W. Gausman,1977,6
Compton J. Tucker,1977,6
William W. Schroeder,1977,6
"W.A. Davis, F.G. Peet",1977,6
D.T. Currey,1977,6
Vincent E. Noble,1970,1
Edward B. Knipling,1970,1
"Donald V. Hansen, George A. Maul",1970,1
W.G. Egan,1970,1
"Alan E. Strong, Irwin S. Ruff",1970,1
"V.E. Noble, J.C. Wilkerson",1970,1
Robert W. Pease,1970,1
"R. Cardenas, H.W. Gausman, W.A. Allen, Marcia Schupp",1970,1
"Howard Kurtz, Harriet Kurtz",1977,6
Joann Parikh,1977,6
B.V Vinogradov,1977,6
"V. Klemas, D.F. Polis",1977,6
"J.E. Gaynor, F.F. Hall, J.G. Edinger, G.R. Ochs",1977,6
"R.S. Murthy, S. Pandey, L.R. Hirekerur, N.V.M. Unni",1977,6
J.E. Chance,1977,6
A.J. Larocca,1977,6
"Stewart Campbell, Brian May",1977,6
David J. Leu,1977,6
"J.R. Miller, S.C. Jain, N.T. O'Neill, W.R. McNeil, K.P.B. Thomson",1977,6
Donald E. Barrick,1977,6
"Robert S. Fraser, Om P. Bahethi, A.H. Al-Abbas",1977,6
"Michael Roderick, Richard Smith, Graham Lodwick",1996,58
"S.M. Bhandari, A.K. Varma",1996,58
Nan D. Walker,1996,58
"Josef Cihlar, Hung Ly, Qinghan Xiao",1996,58
Karl-Theodor Kriebel,1996,58
"Bruce Hapke, Dominick DiMucci, Robert Nelson, William Smythe",1996,58
"Giovanni M. Ferrari, Nicolas Hoepffner, Marina Mingazzini",1996,58
"Manuel A. Penaloza, Ronald M. Welch",1996,58
"Hélène Cosnefroy, Marc Leroy, Xavier Briottet",1996,58
"F. Veroustraete, J. Patyn, R.B. Myneni",1996,58
"Timothy C. Gallaudet, James J. Simpson",1991,38
"Patrick J. Starks, John M. Norman, Blaine L. Blad, Elizabeth A. Walter-Shea, Charles L. Walthall",1991,38
"Thomas F. Eck, Dennis G. Dye",1991,38
"Brigitte Leblon, Martine Guerif, Frédéric Baret",1991,38
Marvin E. Bauer,1992,39
"Paul J Curran, Jennifer L Dungan, Henry L Gholz",1992,39
"John A Harrington, Frank R Schiebe, Joe F Nix",1992,39
"Raymond L. Czaplewski, Glenn P. Catts",1992,39
"Kazuhiko Masuda, Tsutomu Takashima",1992,39
"Yuri V. Knyazikhin, Alexander L. Marshak, Ranga B. Myneni",1992,39
"K.Dieter Klaes, Rüdiger Georg",1992,39
"Enamul Hoque, Peter J.S Hutzler",1992,39
Marvin E. Bauer,1991,38
"D.K. Hall, M. Sturm, C.S. Benson, A.T.C. Chang, ... E. Chacho",1991,38
"Tomoyuki Ishida, Ho Ando, Michikazu Fukuhara",1991,38
"Richard P Stumpf, Jonathan R Pennock",1991,38
"David L.B. Jupp, Alan H. Strahler",1991,38
J.Kenneth Shultis,1991,38
"Baoxin Hu, Wolfgang Lucht, Alan H. Strahler, Crystal Barker Schaaf, Milton Smith",2000,71
Bhaskar J. Choudhury,2000,71
"Peter Scarth, Stuart Phinn",2000,71
"Prasad S Thenkabail, Ronald B Smith, Eddy De Pauw",2000,71
"Philippe Mayaux, Gianfranco De Grandi, Jean-Paul Malingreau",2000,71
Jean-Louis Roujean,2000,71
"P.L. Nagler, C.S.T. Daughtry, S.N. Goward",2000,71
"Nicholas Lancaster, Gerald G. Schaber, James T. Teller",2000,71
"V. Demarez, J.P. Gastellu-Etchegorry",2000,71
"Zuotao Li, Menas Kafatos",2000,71
"Nicholas Coops, Darius Culvenor",2000,71
"José L. Álvarez-Pérez, Stewart J. Marshall, Keith Gregson",2000,71
"Gary D. Robinson, Harry N. Gross, John R. Schott",2000,71
"J. Stuckens, P.R. Coppin, M.E. Bauer",2000,71
"C. Derksen, E. LeDrew, A. Walker, B. Goodison",2000,71
"D.G. Blumberg, V. Freilikher, I.V. Lyalko, L.D. Vulfson, ... A.D. Ryabokonenko",2000,71
"Chung-Ru Ho, Nan-Jung Kuo, Quanan Zheng, Yin S. Soong",2000,71
"Daniel B. Michelson, B.Marcus Liljeberg, Petter Pilesjö",2000,71
"Leonard Brown, Jing M. Chen, Sylvain G. Leblanc, Josef Cihlar",2000,71
"J. Cihlar, R. Latifovic, J. Chen, J. Beaubien, Z. Li",2000,71
"Yann Nouvellon, Danny Lo Seen, Serge Rambal, Agnès Bégué, ... Jiaguo Qi",2000,71
"C. Proisy, E. Mougin, F. Fromard, M.A. Karam",2000,71
"Rajat Bindlish, Ana P. Barros",2000,71
"Ernst M. Schetselaar, Chang-Jo F. Chung, Kwang E. Kim",2000,71
"Daniel G Brown, Jiunn-Der Duh, Scott A Drzyzga",2000,71
"Stephen H Boles, David L Verbyla",2000,72
"Jean-Pierre Lagouarde, Hervé Ballans, Patrick Moreau, Dominique Guyon, Damien Coraboeuf",2000,72
Stephen V. Stehman,2000,72
Fraser Gemmell,2000,72
"Florian Siegert, Anja A Hoffmann",2000,72
"I. Solheim, O. Engelsen, B. Hosgood, G. Andreoli",2000,72
"James J. Simpson, Timothy McIntire, Zhonghai Jin, James R. Stitt",2000,72
"A.B Tait, D.K Hall, J.L Foster, R.L Armstrong",2000,72
"J. Cihlar, R. Latifovic, J. Chen, J. Beaubien, ... S. Magnussen",2000,72
"Fraser Gemmell, Adrian J McDonald",2000,72
"M Zribi, V Ciarletti, O Taconet, J Paillé, P Boissard",2000,72
"Joost de Jong, Wim Klaassen, Albert Ballast",2000,72
"Florence Lahet, Sylvain Ouillon, Philippe Forget",2000,72
"James J Simpson, Gary Hufford, David Pieri, Jared Berg",2000,72
C.M Birkett,2000,72
Ken Watson,2000,72
"Andres Kuusk, Tiit Nilson",2000,72
Edward M. Armstrong,2000,73
"J Qi, Y.H Kerr, M.S Moran, M Weltz, ... R Bryant",2000,73
"Juan C Pérez, Félix Herrera, Fernando Rosa, Albano González, ... Douglas H Lowenthal",2000,73
"Ke-Sheng Cheng, Hui-Chung Yeh, Chang-Hsuan Tsai",2000,73
"Alvarinho J. Luis, Hiroshi Kawamura",2000,73
"M. Zribi, V. Ciarletti, O. Taconet",2000,73
"Thierry Castel, Jean-Michel Martinez, André Beaudoin, Urs Wegmüller, Tazio Strozzi",2000,73
"Andrew J. Elmore, John F. Mustard, Sara J. Manning, David B. Lobell",2000,73
"Mike Wulder, K.Olaf Niemann, David G. Goodenough",2000,73
Philip A Townsend,2000,72
"Paul Treitz, Philip Howarth",2000,72
"A. Quesney, S. Le Hégarat-Mascle, O. Taconet, D. Vidal-Madjar, ... M. Normand",2000,72
Stephan J Maas,2000,72
"Ahmet Bahadir Orun, Krishnaier Natarajan, Zafer Aslan",2000,72
"A.G.P. Shaw, R. Vennell",2000,72
"M.A. Gilabert, F.J. Garcı́a-Haro, J. Meliá",2000,72
"Antonio P Leone, Stefan Sommer",2000,72
"Kenneth McGwire, Timothy Minor, Lynn Fenstermaker",2000,72
Stefan R Sandmeier,2000,73
"J.-P. Wigneron, P. Waldteufel, A. Chanzy, J.-C. Calvet, Y. Kerr",2000,73
"Jaume Flexas, Jean-Marie Briantais, Zoran Cerovic, Hipólito Medrano, Ismael Moya",2000,73
"Samantha J. Gill, Jeff Milliken, Debby Beardsley, Ralph Warbington",2000,73
"Gennady I. Belchansky, David C. Douglas",2000,73
"June C. Morland, David I.F. Grimes, George Dugdale, Tim J. Hewison",2000,73
"A. Smirnov, B.N. Holben, T.F. Eck, O. Dubovik, I. Slutsker",2000,73
"Adrian Luckman, John Baker, Urs Wegmüller",2000,73
W.J Emery,2000,73
Fred J Tanis,2000,73
"Stuart R Phinn, Carl Menges, Greg J.E Hill, Michael Stanford",2000,73
"Vladimir M. Krasnopolsky, William H. Gemmill, Laurence C. Breaker",2000,73
"Julie Noriega Rivera Rio, Diego Fabián Lozano-Garcı́a",2000,73
"Dominique Durand, Jérome Bijaoui, François Cauneau",2000,73
"Attila Komjathy, Valery U. Zavorotny, Penina Axelrad, George H. Born, James L. Garrison",2000,73
"James L. Garrison, Stephen J. Katzberg",2000,73
"K Yokouchi, K Takeshi, I Matsumoto, G Fujiwara, ... K Okuda",2000,73
"Laurence C Breaker, Vladimir M Krasnopolsky, Eileen M Maturi",2000,73
"H Siegel, M Gerth",2000,73
"Catia M Domingues, Glauber A Gonçalves, Renato D Ghisolfi, Carlos A.E Garcia",2000,73
"Sabine Thiemann, Hermann Kaufmann",2000,73
"Paul A. Hwang, William B. Krabill, Wayne Wright, Robert N. Swift, Edward J. Walsh",2000,73
"Gary C Guenther, Mark W Brooks, Paul E LaRocque",2000,73
"Chuanmin Hu, Kendall L Carder, Frank E Muller-Karger",2000,74
"Anne W Nolin, Jeff Dozier",2000,74
Muhtar Qong,2000,74
"C.S.T Daughtry, C.L Walthall, M.S Kim, E.Brown de Colstoun, J.E McMurtrey",2000,74
"L.Ambrosio Flores, L.Iglesias Martı́nez",2000,74
"A.N French, T.J Schmugge, W.P Kustas",2000,74
"Baoxin Hu, Kris Inannen, John R Miller",2000,74
"Purushottam Raj Singh, Thian Yew Gan",2000,74
Mark J Chopping,2000,74
"H. Yoshioka, T. Miura, A.R. Huete, B.D. Ganapol",2000,74
"J.L Privette, G.P Asner, J Conel, K.F Huemmrich, ... E.A Walter-Shea",2000,74
"K.M. Havstad, W.P. Kustas, A. Rango, J.C. Ritchie, T.J. Schmugge",2000,74
"A Rango, M Chopping, J Ritchie, K Havstad, ... T Schmugge",2000,74
"Michael A White, Gregory P Asner, Ramakrishna R Nemani, Jeff L Privette, Steven W Running",2000,74
"M.J Barnsley, P.D Hobson, A.H Hyman, W Lucht, ... A.H Strahler",2000,74
"Gregory P Asner, Carol A Wessman, C.Ann Bateson, Jeffrey L Privette",2000,74
"Wolfgang Lucht, Andrew H. Hyman, Alan H. Strahler, Mike J. Barnsley, ... Jan-Peter Muller",2000,74
"Gregory P Asner, David B Lobell",2000,74
"Wenge Ni, Xiaowen Li",2000,74
"Nikolay V. Shabanov, Y. Knyazikhin, Frêdêric Baret, Ranga B. Myneni",2000,74
"Wenhan Qin, Siegfried A.W Gerstl",2000,74
Mark J. Chopping,2000,74
"William P. Kustas, John M. Norman",2000,74
"I. Chunchuzov, P.W. Vachon, X. Li",2000,74
"R.H Fraser, Z Li, J Cihlar",2000,74
"J.Pepijn Veefkind, Gerrit de Leeuw, Piet Stammes, Robert B.A Koelemeijer",2000,74
S. de Bruin,2000,74
"James D. Shepherd, John R. Dymond",2000,74
"S. Tanahashi, H. Kawamura, T. Matsuura, T. Takahashi, H. Yusa",2000,74
Craig G. Gelpi,2000,74
Timo Tokola,2000,74
"Tracey Kenward, Dennis P Lettenmaier, Eric F Wood, Eric Fielding",2000,74
Felix N Kogan,2000,74
"Nan-Jung Kuo, Quanan Zheng, Chung-Ru Ho",2000,74
"S Jacquemoud, C Bacour, H Poilvé, J.-P Frangi",2000,74
"Thomas R Allen, John A Kupfer",2000,74
"Bo-Cai Gao, Rong-Rong Li",2000,74
"R.S DeFries, Jonathan Cheung-Wai Chan",2000,74
"Pascal Matsakis, Serge Andréfouët, Patrick Capolsini",2000,74
"Dyi-Huey Chang, Shafiqul Islam",2000,74
Brian M. Steele,2000,74
"Joachim Hill, Brigitta Schütt",2000,74
"Lydia Serrano, Susan L Ustin, Dar A Roberts, John A Gamon, Josep Peñuelas",2000,74
"Pablo J. Zarco-Tejada, John R. Miller, Gina H. Mohammed, Thomas L. Noland",2000,74
"Pablo J Zarco-Tejada, John R Miller, Gina H Mohammed, Thomas L Noland, Paul H Sampson",2000,74
"Xiang Gao, Alfredo R. Huete, Wenge Ni, Tomoaki Miura",2000,74
Bhaskar J. Choudhury,2001,75
"P Saich, W.G Rees, M Borgeaud",2001,75
Fabio Maselli,2001,75
"S Schädlich, F.M Göttsche, F.-S Olesen",2001,75
"A.G.P. Shaw, R. Vennell",2001,75
"Zhonghai Jin, James J. Simpson",2001,75
"Jouni Pulliainen, Martti Hallikainen",2001,75
"Christopher S. Ruf, Haiping Zhang",2001,75
"Thomas Key, Timothy A Warner, James B McGraw, Mary Ann Fajvan",2001,75
"J.S Kimball, K.C McDonald, A.R Keyser, S Frolking, S.W Running",2001,75
"Dan Lubin, Wei Li, Phillip Dustan, Charles H. Mazel, Knut Stamnes",2001,75
"Andrew Davidson, Ferenc Csillag",2001,75
Raymond F Kokaly,2001,75
"Jessika Töyrä, Alain Pietroniro, Lawrence W. Martz",2001,75
"L. Hubert-Moy, A. Cotonnec, L. Le Du, A. Chardin, P. Perez",2001,75
"K.J Ranson, G Sun, V.I Kharuk, K Kovacs",2001,75
"V.F. Krapivin, G.W. Phillips",2001,75
"D.M. O'Brien, R.M. Mitchell",2001,75
"Conghe Song, Curtis E. Woodcock, Karen C. Seto, Mary Pax Lenney, Scott A. Macomber",2001,75
"Lênio Soares Galvão, Marco Antônio Pizarro, José Carlos Neves Epiphanio",2001,75
"J.A Sobrino, N Raissouni, Zhao-Liang Li",2001,75
"Niall Watson, David Wilcock",2001,75
"Thierry Castel, Yves Caraglio, André Beaudoin, Frédéric Borne",2001,75
"K.J Ranson, G Sun, R.G Knox, E.R Levine, ... S.T Fifer",2001,75
"Aaron Moody, David M Johnson",2001,75
"N.C Coops, R.H Waring",2001,75
"John F. Mustard, Matthew I. Staid, William J. Fripp",2001,75
"J.R. Dymond, J.D. Shepherd, J. Qi",2001,75
"Julienne C Stroeve, Jason E Box, Charles Fowler, Terence Haran, Jeffery Key",2001,75
"D Bell, C Menges, W Ahmad, J.J van Zyl",2001,75
"Ram M. Narayanan, Praveen P. Hirsave",2001,75
"K.S Chen, J.T Wang, Leonid M Mitnik",2001,75
"S Tanahashi, H Kawamura, T Matsuura, T Takahashi, H Yusa",2001,75
K.F. Huemmrich,2001,75
"R.D Magagi, Y.H Kerr",2001,75
"Chuanmin Hu, Kendall L. Carder, Frank E. Muller-Karger",2001,75
"J.P. Gastellu-Etchegorry, V. Bruniquel-Pinel",2001,76
"Matti Katila, Erkki Tomppo",2001,76
"A Ounis, Z.G Cerovic, J.M Briantais, I Moya",2001,76
"Quanan Zheng, Xiao-Hai Yan, W.Timothy Liu, Victor Klemas, Dongchang Sun",2001,76
"Feng Gao, Crystal B. Schaaf, Alan H. Strahler, Wolfgang Lucht",2001,76
"Roselyne Lacaze, Jean-Louis Roujean",2001,76
"Jeff Secker, Karl Staenz, Robert P Gauthier, Paul Budkewitsch",2001,76
"Simon J Hook, Jeffrey J Myers, Kurtis J Thome, Michael Fitzgerald, Anne B Kahle",2001,76
"József Gál, Gábor Horváth, Viktor Benno Meyer-Rochow",2001,76
"James J Simpson, Jared S Berg, Chester J Koblinsky, Gary L Hufford, Brian Beckley",2001,76
"Rajat Bindlish, Ana P Barros",2001,76
"Doug R Oetter, Warren B Cohen, Mercedes Berterretche, Thomas K Maiersperger, Robert E Kennedy",2001,76
"N.H Broge, E Leblanc",2001,76
"Etienne Muller, Henri Décamps",2001,76
"István Pomozi, József Gál, Gábor Horváth, Rüdiger Wehner",2001,76
"Wenjing Zhao, Masayuki Tamura, Hidenori Takahashi",2001,76
Shunlin Liang,2001,76
"Chuanmin Hu, Kendall L Carder, Frank E Muller-Karger",2001,76
"César Coll, Vicente Caselles, Eva Rubio, Francisco Sospedra, Enric Valor",2001,76
"A.D. Weidemann, D.J. Johnson, R.J. Holyer, W.S. Pegau, ... J.C. Sandidge",2001,76
"Yakov D Afanasyev, Nikolay P Nezlin, Andrey G Kostianoy",2001,76
"T. Faure, H. Isaka, B. Guillemet",2001,77
"Alvarinho J Luis, Hiroshi Kawamura",2001,77
"June C Morland, David I.F Grimes, T.J Hewison",2001,77
"Robert P. Bukata, Dmitry V. Pozdnyakov, John H. Jerome, Fred J. Tanis",2001,77
"William L Stefanov, Michael S Ramsey, Philip R Christensen",2001,77
"S.L Furby, N.A Campbell",2001,77
"Fraser Gemmell, Jari Varjo, Mikael Strandstrom",2001,77
"Gregory S Okin, Dar A Roberts, Bruce Murray, William J Okin",2001,77
Y.D. Afanasyev,2001,77
"J.R. Dymond, J.D. Shepherd, J. Qi",2001,77
"J.R. Dymond, J.D. Shepherd, J. Qi",2001,77
"D.J Harding, M.A Lefsky, G.G Parker, J.B Blair",2001,76
"Geoffrey G Parker, Michael A Lefsky, David J Harding",2001,76
"Yun Shao, Xiangtao Fan, Hao Liu, Jianhua Xiao, ... G Staples",2001,76
"C.B Hasager, S Thykier-Nielsen",2001,76
"Frank-M Göttsche, Folke S Olesen",2001,76
"Paul J Curran, Jennifer L Dungan, David L Peterson",2001,76
"A. Chehbouni, Y. Nouvellon, Y.H. Kerr, M.S. Moran, ... S. Rambal",2001,76
"Michele Crosetto, José Andrés Moreno Ruiz, Bruno Crippa",2001,76
"Christian E Torgersen, Russell N Faux, Bruce A McIntosh, Nathan J Poage, Douglas J Norton",2001,76
"I. Csiszar, G. Gutman, P. Romanov, M. Leroy, O. Hautecoeur",2001,76
"S Couturier, D Taylor, F Siegert, A Hoffmann, M.Q Bao",2001,76
"Limin Yang, Stephen V Stehman, Jonathan H Smith, James D Wickham",2001,76
